游戏名, 包名, 类型, 公司名, orgame, apkCode, appId, 媒体, 关键词
英雄迷城,com.yxmc.yly.huawei.1812251515.apk,广州易乐游网络科技有限公司,-,-,-,-,huawei,英雄爱三国
三国的后裔,com.apowo.sanguo.huawei.1611172217.apk,上海爱扑网络科技股份有限公司,-,-,-,-,huawei,英雄爱三国
一统三国,com.ytsg.aowan.huawei.1801101407.apk,广州傲玩信息科技有限公司,-,-,-,-,huawei,英雄爱三国
三国卡神,com.sgks.hc.huawei.1805182120.apk,天津恒成科技有限公司,-,-,-,-,huawei,英雄爱三国
一二三国,egretsanguo.huawei.1905111841.apk,广州零八游戏科技有限公司,-,-,-,-,huawei,英雄爱三国
海岛英雄,com.xzuson.game.islandhero.huawei.1809221757.apk,徐州秋水伊人信息技术有限公司,-,-,-,-,huawei,英雄爱三国
冲啊三国,com.kc.casgaz.mi,深圳市星期天网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
爱加速,com.fvcorp.android.aijiasuclient,上海游盾网络科技有限公司,实用工具,-,-,-,mi,英雄爱三国
三国群英传-争霸,com.xm.sgqyzm.mi,开腾（上海）信息技术有限公司,战争策略,-,-,-,mi,英雄爱三国
绳索英雄,com.mgc.rope.hero.kyx.m,Naxeex LLC,动作枪战,-,-,-,mi,英雄爱三国
米拉奇战记,com.miragine.MiragineWar,上海幻隙网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
爱学,com.etiantian.im,北京龙之门网络教育技术有限公司,学习教育,-,-,-,mi,英雄爱三国
绳索英雄革命,com.naxeex.rope.hero.revolution.xc,Naxeex LLC,动作枪战,-,-,-,mi,英雄爱三国
英雄战魂2,com.eglsgamea.ah2.huawei.1801091739.apk,新疆艾格拉斯信息技术有限公司,-,-,-,-,huawei,英雄爱三国
犯罪钢铁英雄,com.hgamesart.ironmech.dbzq.m,HGamesArt,动作枪战,-,-,-,mi,英雄爱三国
穿行三国,com.cxsgbmhy.huawei.1812211356.apk,深圳斑马互娱科技有限公司,-,-,-,-,huawei,英雄爱三国
三国杀名将传,com.sanguosha.mjz.mi,杭州游卡网络技术有限公司,网游RPG,-,-,-,mi,英雄爱三国
明珠三国2,com.pip.mzsg2.huawei.1611301424.apk,北京掌上明珠科技股份有限公司,-,-,-,-,huawei,英雄爱三国
三国一统天下,com.tencent.tmgp.yttxky,上海欣承网络科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
跑跑三国：三国策略卡牌游戏,com.tencent.tmgp.newppsg,深圳推进者科技有限公司,角色扮演,-,-,-,tencent,英雄爱三国
乱战三国,com.tencent.tmgp.lzsanguo,厦门英杰讯网络技术有限公司,网络游戏,-,-,-,tencent,英雄爱三国
口袋梦三国,com.dh.mengsanguoolex,杭州电魂网络科技股份有限公司,社交,-,-,-,tencent,英雄爱三国
口水三国,com.tencent.tmgp.kssg,心动网络股份有限公司,网络游戏,-,-,-,tencent,英雄爱三国
魔兽三国,com.tencent.tmgp.sy.hl.mssg,华录出版传媒有限公司,网络游戏,-,-,-,tencent,英雄爱三国
三十六计（乱世三国）,com.tencent.tmgp.yzg36,上海游族信息技术有限公司,网络游戏,-,-,-,tencent,英雄爱三国
三国杀名将传,com.tencent.tmgp.sanguosha.mjz,杭州游卡网络技术有限公司,网络游戏,-,-,-,tencent,英雄爱三国
火柴人绳索英雄战争,com.pubgmafia.hero.stickman.grand.ropehero.dbzq.m,Gorena Games,动作枪战,-,-,-,mi,英雄爱三国
龙曜三国,com.lysg.taiding.huawei.1801111708.apk,天津泰鼎科技有限公司,-,-,-,-,huawei,英雄爱三国
飞天蜘蛛侠英雄,com.realcitygames.spider.cartoon.man.fhp,Spidy Gamer,休闲创意,-,-,-,mi,英雄爱三国
魔战三国online,com.mzsg.hc.huawei.1803191007.apk,天津恒成科技有限公司,-,-,-,-,huawei,英雄爱三国
英雄霸业,com.tianhai.yxby.huawei.1809040857.apk,广州天海网络科技有限公司,-,-,-,-,huawei,英雄爱三国
英雄世纪,com.yxsj.hc.huawei.1806201852.apk,天津恒成科技有限公司,-,-,-,-,huawei,英雄爱三国
魔法门之英雄无敌：战争纪元,com.tencent.tmgp.yxwdzzjy.1905101905.apk,深圳市腾讯计算机系统有限公司,-,-,-,-,huawei,英雄爱三国
三国情缘,com.sgqy.dingwan.mi,广州鼎玩信息科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
三国志5,com.ps.gamesgz5.dbzq.m,KOEI,战争策略,-,-,-,mi,英雄爱三国
卧龙三国-挂机三国志,com.wolongsanguo.mi,深圳麒麟聚宝金融科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
爱维宝贝,com.jovision.ivbaby,济南爱维互联网有限公司,学习教育,-,-,-,mi,英雄爱三国
蜘蛛机器人绳索英雄,com.gta.fly.a.rope.dbzq.m,Naxeex Studio,动作枪战,-,-,-,mi,英雄爱三国
一路三国-塔防自走棋,com.zgylsg.mi,广州游龙网络科技有限公司,塔防迷宫,-,-,-,mi,英雄爱三国
三国之刃,com.tencent.tmgp.sgzr,深圳市腾讯计算机系统有限公司,网游RPG,-,-,-,mi,英雄爱三国
绳索英雄3,com.mgc.rope.hero.three.dbzq.m,Naxeex LLC,动作枪战,-,-,-,mi,英雄爱三国
蜘蛛侠绳索英雄2,com.assassingames.ninjafrogrope.mt,Assassin Games,动作枪战,-,-,-,mi,英雄爱三国
恋爱日记,com.hsi.larj.huawei.1904231546.apk,深圳顺源网络科技有限公司,-,-,-,-,huawei,英雄爱三国
公主恋爱日记,com.libii.lovediary.game.huawei.1903131955.apk,成都力比科技有限公司,-,-,-,-,huawei,英雄爱三国
三国志2017,com.game.sgz.huawei.1904231556.apk,上海逸友网络信息技术有限公司,-,-,-,-,huawei,英雄爱三国
暖暖恋爱日记,com.warmlovediary.efun.huawei.1904191933.apk,海南益趣科技有限公司,-,-,-,-,huawei,英雄爱三国
三国志大战,com.blackwings.sgzdz.huawei.1903282120.apk,北京百度移讯科技有限公司,-,-,-,-,huawei,英雄爱三国
三国杀,com.bf.sgs.hdexp.huawei.1904231008.apk,杭州游卡网络技术有限公司,-,-,-,-,huawei,英雄爱三国
三国杀名将传,com.sanguosha.mjz.huawei.1811131135.apk,杭州游卡网络技术有限公司,-,-,-,-,huawei,英雄爱三国
放开那三国2,com.babeltime.fknsg2.huawei.1904231809.apk,北京巴别时代科技股份有限公司,-,-,-,-,huawei,英雄爱三国
群英传奇-梦想三国,com.janlr.sanguo.huawei.1901311658.apk,广州简乐网络科技有限公司,-,-,-,-,huawei,英雄爱三国
兵法三国,com.xuangames.bfsgsy.huawei.1810241540.apk,杭州流冠科技有限公司,-,-,-,-,huawei,英雄爱三国
守望英雄,com.playwhale.yingxiongtd.huawei.1903141957.apk,海南乐之鲸鱼科技有限公司,-,-,-,-,huawei,英雄爱三国
萌将三国,com.fgzb.mzsgz.android.huawei.1904242000.apk,上海蜂果网络科技有限公司,-,-,-,-,huawei,英雄爱三国
啪啪三国,com.huorong.papasg.mi,上海火溶信息,网游RPG,-,-,-,mi,英雄爱三国
同人圣三国蜀汉传,com.bantu.trssgshz.mi,上海班图网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
三国志2：霸王的大陆,com.ps.gamebwdl.dbzq.m,NAMCO,战争策略,-,-,-,mi,英雄爱三国
小小三国2-风云再起,com.go.xxbz.mi,深圳市鑫星互动科技有限公司,战争策略,-,-,-,mi,英雄爱三国
锄战三国村,com.kairogame.android.ThreeKing.mi,识君,模拟经营,-,-,-,mi,英雄爱三国
剑侠世界2-次世代3D武侠,com.seasun.jxsj2.mi,小米游戏,网游RPG,-,-,-,mi,英雄爱三国
变形机器人英雄,com.mac.xraytransform.fhp,Mine Apps Craft,动作枪战,-,-,-,mi,英雄爱三国
钢铁侠英雄2019,com.mygames.iron.robot.elm,My Games 719,动作枪战,-,-,-,mi,英雄爱三国
三国群英传-霸王之业,com.tencent.tmgp.sgqyz.1808291924.apk,深圳市腾讯计算机系统有限公司,-,-,-,-,huawei,英雄爱三国
战棋三国2,com.bantu.zqsgr.huawei.1904291750.apk,上海班图网络科技有限公司,-,-,-,-,huawei,英雄爱三国
小小军团合战三国,com.hoolai.hzsg.huawei.1808181622.apk,互爱互动（北京）科技有限公司,-,-,-,-,huawei,英雄爱三国
九州三国志,com.jiuzhou.sanguo.huawei.1806251525.apk,海南莫比乌斯网络科技有限公司,-,-,-,-,huawei,英雄爱三国
不朽三国,com.my.bxsg.huawei.1905131857.apk,广州萌友网络科技有限公司,-,-,-,-,huawei,英雄爱三国
群英打三国,com.legu.dsg.huawei.1903060912.apk,武汉乐谷在线科技有限公司,-,-,-,-,huawei,英雄爱三国
权倾三国,com.bianfeng.qqsg.huawei.1903191313.apk,杭州边锋网络技术有限公司,-,-,-,-,huawei,英雄爱三国
街机三国,com.mztgame.j3.huawei.1804271055.apk,上海巨人网络科技有限公司,-,-,-,-,huawei,英雄爱三国
骑战三国,com.cynet.qizhansanguo.huawei.1804201227.apk,广州创畅网络科技有限公司,-,-,-,-,huawei,英雄爱三国
奥特曼英雄归来,com.caohua.atm.huawei.1905101203.apk,湖南草花互动网络科技有限公司,-,-,-,-,huawei,英雄爱三国
梦想三国之最终之战,com.jiayi.zzzz.huawei.1901182015.apk,广州家庭医生信息技术有限公司,-,-,-,-,huawei,英雄爱三国
逆袭吧英雄,com.xsanguo.huawei.1903141644.apk,厦门铠甲网络股份有限公司,-,-,-,-,huawei,英雄爱三国
英雄行星,com.my.moba.ent,My.com B.V.,战争策略,-,-,-,mi,英雄爱三国
爱山东,com.hanweb.android.sdzwfw.activity,南京大汉网络,新闻资讯,-,-,-,mi,英雄爱三国
三国大亨,com.xinai.sanguodaheng.huawei.1904181922.apk,上海歆瑷网络科技有限公司,-,-,-,-,huawei,英雄爱三国
放开那三国,com.babeltime.fknsango_xiaomi,北京巴别时代科技股份有限公司,网游RPG,-,-,-,mi,英雄爱三国
爱优漫,com.comic.iyouman,二次元动漫,图书阅读,-,-,-,mi,英雄爱三国
梦想三国之最终之战,com.jiayi.zzzz.mi,广州家庭医生信息技术有限公司,格斗快打,-,-,-,mi,英雄爱三国
爱泸县,com.ailuxian.cn,浙江文澜信息发展有限公司,新闻资讯,-,-,-,mi,英雄爱三国
LOL掌游宝,com.anzogame.lol,成都我趣科技有限公司,聊天社交,-,-,-,mi,英雄爱三国
超级火枪英雄,com.games.pr.gun.bnn,Zin Games,动作枪战,-,-,-,mi,英雄爱三国
三国如龙传,com.netease.sgrlz.huawei.1901282156.apk,杭州网易雷火科技有限公司,-,-,-,-,huawei,英雄爱三国
富豪闯三国,com.mili.rich.huawei.1904101706.apk,北京米粒互娱科技有限公司,-,-,-,-,huawei,英雄爱三国
超级冒险英雄,com.fouriwan.sfol.huawei.1903181702.apk,深圳市天易互娱信息科技有限公司,-,-,-,-,huawei,英雄爱三国
梦想三国之永恒之神,com.jiayi.cgzj.huawei.1808011347.apk,广州家庭医生信息技术有限公司,-,-,-,-,huawei,英雄爱三国
英雄枪战,com.qzyx2.union.huawei.1806261028.apk,广州四三九九信息科技有限公司,-,-,-,-,huawei,英雄爱三国
奥特曼热血英雄,com.clgame.atmrxyx.huawei.1904191113.apk,合肥畅乐互动信息技术有限公司,-,-,-,-,huawei,英雄爱三国
小小英雄,com.xxyx.union.huawei.1804191153.apk,广州四三九九信息科技有限公司,-,-,-,-,huawei,英雄爱三国
新塔防三国,com.tencent.tmgp.hireal.qmtf,北京昊睿中天科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
守望英雄,com.tencent.tmgp.swtf,上海沪首网络科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
乱斗三国,com.tencent.tmgp.ldsg.sqsy,深圳市无限空间网络技术有限公司,角色扮演,-,-,-,tencent,英雄爱三国
变形机器人英雄,com.tencent.tmgp.jsdw.Zhdzdz,天津羽仁科技有限公司,角色扮演,-,-,-,tencent,英雄爱三国
英雄就是我,com.tencent.tmgp.imthehero,飞鱼科技国际有限公司,动作冒险,-,-,-,tencent,英雄爱三国
攻城三国,com.tencent.tmgp.gcsg,镇江傲游网络科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
小小三国2：登陆送关羽,com.tencent.tmgp.xxsg2,深圳市鑫星互动科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
你好三国,com.tencent.tmgp.nhsg,南京光辉互动网络科技有限公司,角色扮演,-,-,-,tencent,英雄爱三国
音乐英雄,com.wordsmobile.musichero,WORDS MOBILE,休闲益智,-,-,-,tencent,英雄爱三国
随身风暴英雄,ne.hs.hsapp,上海网之易网络科技发展有限公司,娱乐,-,-,-,tencent,英雄爱三国
赛尔号超级英雄,com.skymoons.seer.huawei.1711281512.apk,天津天象互动科技有限公司,-,-,-,-,huawei,英雄爱三国
枪战英雄,com.qzyx.union.huawei.1806131152.apk,广州四三九九信息科技有限公司,-,-,-,-,huawei,英雄爱三国
英雄战魂,com.g2us.armedwarriors.huawei.1705151212.apk,艾格拉斯科技（北京）有限公司,-,-,-,-,huawei,英雄爱三国
你好三国,com.bie.nhsg.huawei.1904171513.apk,杭州嗨翻科技有限公司,-,-,-,-,huawei,英雄爱三国
口袋英雄传,com.tuantuan.kdyxz.huawei.1812041533.apk,武汉团团互娱科技有限公司,-,-,-,-,huawei,英雄爱三国
三国群英传-霸王之业,com.tencent.tmgp.sgqyz,深圳市腾讯计算机系统有限公司,战争策略,-,-,-,mi,英雄爱三国
不朽三国,com.my.bxsg.mi,广州萌友网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
爱剪辑视频编辑,com.aijianji.clip,四川陶成腾飞科技有限公司,摄影摄像,-,-,-,mi,英雄爱三国
幻想三国,com.hxsg.sx.mi,广州盛萱网络科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
城防三国,com.cfsg.hc.mi,天津恒成科技有限公司,战争策略,-,-,-,mi,英雄爱三国
逐鹿三国之君临天下,com.qtz.game.jltx.mi,广州市擎天柱网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
铁骑三国online,com.tqsg.hc.huawei.1804231327.apk,天津恒成科技有限公司,-,-,-,-,huawei,英雄爱三国
三国世界-策略手游,com.studio.game.mi,深圳市冉斯网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
爱回收,aihuishou.aihuishouapp,上海悦易网络信息技术有限公司,时尚购物,-,-,-,mi,英雄爱三国
百变马丁之我是英雄,com.jinyougame.martinhero.huawei.1810251048.apk,上海石中网络科技有限公司,-,-,-,-,huawei,英雄爱三国
决战三国-王者之战,com.coolfun.game.mi,coolfungame,网游RPG,-,-,-,mi,英雄爱三国
三国之怒,com.sanguozhinu.huawei.1812251847.apk,上饶市悦人网络科技有限公司,-,-,-,-,huawei,英雄爱三国
蜘蛛侠：英雄时刻,com.koolgames.spider.hero.android.dbzq.m,Kool Games,动作枪战,-,-,-,mi,英雄爱三国
英雄来挂机,com.tiantong.warrior.huawei.1709141644.apk,厦门市酷游网络科技有限公司,-,-,-,-,huawei,英雄爱三国
三国戏赵云传,com.game.kr.sgzzyz.mi,上海酷宇通讯技术有限公司,战争策略,-,-,-,mi,英雄爱三国
英雄之怒,com.yxzn.huawei.1903291238.apk,广州市定游信息科技有限公司,-,-,-,-,huawei,英雄爱三国
城防三国,com.cfsg.hc.huawei.1804081004.apk,天津恒成科技有限公司,-,-,-,-,huawei,英雄爱三国
三国战起来,com.sgzql.yunbang.huawei.1801171602.apk,天津云邦网络科技有限公司,-,-,-,-,huawei,英雄爱三国
三国那些事,com.sgnxs.hc.huawei.1807301847.apk,天津恒成科技有限公司,-,-,-,-,huawei,英雄爱三国
真三国乱舞,com.zsglw.hc.huawei.1804281033.apk,天津恒成科技有限公司,-,-,-,-,huawei,英雄爱三国
屠龙英雄,com.zqgame.tlyx.huawei.1903201728.apk,深圳时代首游互动科技有限公司,-,-,-,-,huawei,英雄爱三国
星座英雄,com.game.xingzuoyx.huawei.1904231430.apk,广州市义耀信息科技有限公司,-,-,-,-,huawei,英雄爱三国
别惹三国,com.brsg.hc.huawei.1803121653.apk,天津恒成科技有限公司,-,-,-,-,huawei,英雄爱三国
斗三国,com.dsg.huawei.1807131938.apk,深圳天启云端科技有限公司,-,-,-,-,huawei,英雄爱三国
极速三国,com.jssg.hc.huawei.1806110923.apk,天津恒成科技有限公司,-,-,-,-,huawei,英雄爱三国
三国归来,com.leju.lwt.sggl.huawei.1703221437.apk,深圳乐聚互动科技有限公司,-,-,-,-,huawei,英雄爱三国
一骑当千2,com.qikuai.yq2.xiaomi,北京一骑当千网络科技股份有限公司,战争策略,-,-,-,mi,英雄爱三国
扫荡三国,com.sdsg.qd9377.mi,上海赤月信息技术有限公司,网游RPG,-,-,-,mi,英雄爱三国
机器人警察英雄,com.appstrend.policerobot.speedster.hero.dbzq.m,Apps Trend 2019,动作枪战,-,-,-,mi,英雄爱三国
帝王三国-高清版,com.gamebox.kingHD.mi,厦门新游网络股份有限公司,战争策略,-,-,-,mi,英雄爱三国
罗马帝国,com.gamewinner.luomadiguo.mi,上饶市奇天乐地科技有限公司,战争策略,-,-,-,mi,英雄爱三国
炸弹英雄,com.kcclassicgamestudio.classicbomberlege.mt,pvcMobClassic,休闲创意,-,-,-,mi,英雄爱三国
爱星盘,com.ixingpan.xp,云雀科技,娱乐消遣,-,-,-,mi,英雄爱三国
风云天下-三国霸主,com.youai.fytxcr.mi,安徽三七网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
三国演义:吞噬无界,com.sinyuee.kingwar.mi,杭州鲜芋科技有限公司,战争策略,-,-,-,mi,英雄爱三国
诸侯三国,com.ksnet.ksappm.zhsango.huawei.1808031508.apk,广州开森网络科技有限公司,-,-,-,-,huawei,英雄爱三国
大话三国-策略挂机回合,com.dhsg.xlqp.mi,宁波市显茂科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
英雄计划,com.yuntiankong.yxjh.huawei.1805141337.apk,深圳市云天空网络科技有限公司,-,-,-,-,huawei,英雄爱三国
你来嘛英雄,com.nlmyx.hw.huawei.1712251523.apk,威海龙必达信息技术有限公司,-,-,-,-,huawei,英雄爱三国
手机三国2,com.somethingbigtech.sanguomobile2.huawei.1707191813.apk,上海顽迦网络科技有限公司,-,-,-,-,huawei,英雄爱三国
萌英雄,com.huatian.myx.huawei.1903120954.apk,画天互娱（广州）网络科技有限公司,-,-,-,-,huawei,英雄爱三国
铠甲战士英雄传说,com.lcy.yxcs.huawei.1812171646.apk,上海谷万网络科技有限公司,-,-,-,-,huawei,英雄爱三国
幻想英雄2,com.heitao.hxyx.huawei.1805171531.apk,上海黑桃互动网络科技有限公司,-,-,-,-,huawei,英雄爱三国
三国战纪,com.enjoymi.sgzj.huawei.1904231757.apk,上海魔克信息科技有限公司,-,-,-,-,huawei,英雄爱三国
萌将三国,com.fgzb.mzsgz.android.mi,上海蜂果网络科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
毒液英雄大战蜘蛛侠,com.xstudio.venom.spider.avenger.hero.thanos.apps.free.mt,Xstudio,格斗快打,-,-,-,mi,英雄爱三国
守望英雄,com.swyx.abc.mi,海南乐之鲸鱼科技有限公司,塔防迷宫,-,-,-,mi,英雄爱三国
谋三国,com.digitalsky.sgz.cn.mi,成都数字天空科技有限公司,战争策略,-,-,-,mi,英雄爱三国
战棋三国2,com.bantu.zqsgr.mi,上海班图网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
蜘蛛侠英雄男孩,com.mp.spiderboystory.dbzq.m,MobilePlus,动作枪战,-,-,-,mi,英雄爱三国
火柴人绳索英雄,com.mgc.stickman.rope.hero.xc,Naxeex LLC,动作枪战,-,-,-,mi,英雄爱三国
火焰纹章：英雄,com.nintendo.zaba,Nintendo Co., Ltd.,经营策略,-,-,-,tencent,英雄爱三国
三国罗曼史,com.tencent.tmgp.sglms,心动网络股份有限公司,网络游戏,-,-,-,tencent,英雄爱三国
三国大亨,com.tencent.tmgp.sgdh,上海歆瑷网络科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
风暴游戏爱拍视频站,com.aipai.android_hos,广州爱拍网络科技有限公司,视频,-,-,-,tencent,英雄爱三国
三国魔君传,com.bantu.sgmjz,上海班图网络科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
激萌三国志,com.moant.jmsg.huawei.1804230923.apk,深圳市蚂蚁互动科技有限公司,-,-,-,-,huawei,英雄爱三国
胡莱三国2助手,com.hoolai.sgzs,互爱互动（北京）科技有限公司,娱乐,-,-,-,tencent,英雄爱三国
战棋三国,com.tencent.tmgp.bantus.zqsgwy,上海班图网络科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
爱读掌阅,com.chaozh.iReaderFree15,掌阅科技股份有限公司,阅读,-,-,-,tencent,英雄爱三国
英雄联盟LOL掌游宝,com.anzogame.lol,成都我趣科技有限公司,工具,-,-,-,tencent,英雄爱三国
火柴人联盟-新年红包,com.DBGame.DiabloLOL,互爱互动（北京）科技有限公司,动作冒险,-,-,-,tencent,英雄爱三国
魔法门之英雄无敌：战争纪元,com.tencent.tmgp.yxwdzzjy,玩蟹科技,网络游戏,-,-,-,tencent,英雄爱三国
微鲸VR,com.snailvr.manager,微鲸科技有限公司,娱乐,-,-,-,tencent,英雄爱三国
三国大时代2之一统天下,funlight.com.game.sg2yttx,devcc,角色扮演,-,-,-,tencent,英雄爱三国
爱拍王者荣耀,com.aipai.android_wzrybox,广州爱拍网络科技有限公司,视频,-,-,-,tencent,英雄爱三国
坦克大战：激光战争（高级版）,com.clapfootgames.laserwars,DotEmu,飞行射击,-,-,-,tencent,英雄爱三国
超级英雄特技越野车,com.weplaystudio.superheroes.buggy.carstunts3d.xc,贵州微游互娱网络科技有限公司,体育竞速,-,-,-,tencent,英雄爱三国
激萌三国志,com.tencent.tmgp.jmsgz,深圳市指游互动信息科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
时空召唤,com.tencent.tmgp.yinhan.skzh,广州银汉科技有限公司,动作冒险,-,-,-,tencent,英雄爱三国
宜搜小说快读版,cn.wejuan.reader,深圳市达华通信息技术有限公司,阅读,-,-,-,tencent,英雄爱三国
全民主公（巅峰竞技）,com.tencent.tmgp.zgtz,北京漫游谷信息技术有限公司,网络游戏,-,-,-,tencent,英雄爱三国
战旗直播,com.gameabc.zhanqiAndroid,杭州边锋网络技术有限公司,视频,-,-,-,tencent,英雄爱三国
王者人生,com.tencent.igame,腾讯科技（深圳）有限公司,娱乐,-,-,-,tencent,英雄爱三国
九龙战—领地争夺战,com.tencent.tmgp.vlong,腾讯公司,动作冒险,-,-,-,tencent,英雄爱三国
天天来塔防,com.tencent.tmgp.vdefense,腾讯公司,经营策略,-,-,-,tencent,英雄爱三国
POCO相机,my.PCamera,广州数联软件技术有限公司,摄影,-,-,-,tencent,英雄爱三国
弹弹岛2,com.tencent.tmgp.DDD2,天津英雄互娱科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
超萌陆战队,com.jumo.avenger.cm,北京华夏乐游科技股份有限公司,经营策略,-,-,-,tencent,英雄爱三国
爱奇艺极速版,tv.pps.mobile,北京爱奇艺科技有限公司,影音视听,-,-,-,mi,英雄爱三国
火柴人联盟,com.tencent.tmgp.hcrlmwx,互爱互动（北京）科技有限公司,动作冒险,-,-,-,tencent,英雄爱三国
华数TV,com.wasu.wasuvideoplayer,华数传媒网络有限公司,视频,-,-,-,tencent,英雄爱三国
横扫千军,com.tencent.tmgp.hengsaoqianjun,心动网络股份有限公司,网络游戏,-,-,-,tencent,英雄爱三国
真龙霸业,com.tencent.tmgp.zlong,腾讯科技北极光工作室群水银工作室,网络游戏,-,-,-,tencent,英雄爱三国
贵阳捉鸡麻将方言版,com.tencent.tmgp.zhuojimajiang,无锡江南影视传播有限公司,棋牌中心,-,-,-,tencent,英雄爱三国
免费漫画,com.txj.anime.cartoon,深圳市明锐信息科技有限公司,娱乐,-,-,-,tencent,英雄爱三国
大乱斗,com.tencent.tmgp.herolegend,北京寻梦科技有限公司,动作冒险,-,-,-,tencent,英雄爱三国
疯狂像素人,com.tencent.tmgp.xsqs,天津英雄互娱科技有限公司,休闲益智,-,-,-,tencent,英雄爱三国
雷曼丛林探险 Rayman Jungle Run,com.pastagames.ro1mobile,上海宝开软件有限公司,动作冒险,-,-,-,tencent,英雄爱三国
女神联盟,com.tencent.tmgp.nslm,上海游家信息技术有限公司,网络游戏,-,-,-,tencent,英雄爱三国
烈火雷霆-装备在线回收,com.tencent.tmgp.lhlt,广州星辉娱乐有限公司,网络游戏,-,-,-,tencent,英雄爱三国
梦幻模拟战,com.tencent.tmgp.mhmnz,上海紫舜信息技术有限公司,网络游戏,-,-,-,tencent,英雄爱三国
免费言情小说,com.book.novel,南京米思游信息技术有限公司,阅读,-,-,-,tencent,英雄爱三国
福禄充值,com.kamenwang.app.android,武汉一起游网络科技有限公司,生活,-,-,-,tencent,英雄爱三国
王者荣耀掌游宝,com.anzogame.wzry,成都我趣科技有限公司,娱乐,-,-,-,tencent,英雄爱三国
金庸听书,com.longrundmt.jinyong,广州朗锐数字传媒科技有限公司,阅读,-,-,-,tencent,英雄爱三国
天天幻灵,com.tencent.tmgp.ttthl,北京天锋网络科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
塔防帝国,com.tencent.tmgp.ydtfdg,深圳市一七玩信息技术有限公司,经营策略,-,-,-,tencent,英雄爱三国
玩美Fun,com.perfectcorp.ycf,玩美商贸（上海）有限公司,摄影,-,-,-,tencent,英雄爱三国
凤凰无双,com.tencent.tmgp.fhws,江苏三九互娱网络科技有限公司,角色扮演,-,-,-,tencent,英雄爱三国
萌萌守卫塔防,com.tencent.tmgp.ftyears.tafangGJ,南京月冕网络科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
风云天下OL,com.tencent.tmgp.mango.qq,广州游爱网络技术股份有限公司,网络游戏,-,-,-,tencent,英雄爱三国
古惑三国志,com.tencent.tmgp.ghsgz,南京好多龙数码科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
无双兵团,com.tencent.tmgp.kos,上海香蕉狗网络科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
萌战无双,com.tencent.tmgp.boomgames.mzws,上海铂漫网络科技有限公司,角色扮演,-,-,-,tencent,英雄爱三国
暗夜格斗（下载抽京东卡）,com.tencent.tmgp.aygd,深圳市派乐地科技有限公司,角色扮演,-,-,-,tencent,英雄爱三国
